Producto,Kcal,Grasa,Carbohidratos,Proteina,Sal,Supermercado,Saturada%,Azucares%
Turrón de Chocolate,557.0,29.4,59.9,7.000000000000001,0.0,mercadona,0.0,0.0
+Proteínas Mousse Vainilla,76.0,1.8000000000000005,5.0,10.0,0.1,mercadona,66.66666666666664,80.0
Turrón Blando,526.0,36.0,35.0,13.0,0.0,mercadona,7.777777777777778,8.0
Yogur Sabor Limón 0%,35.2,0.08,4.4,4.32,0.32,mercadona,0.0,100.0
Relleno Fajitas,74.0,0.8,7.000000000000001,8.9,2.75,mercadona,37.49999999999999,75.7142857142857
Tortilla de Patata con Calabacín,147.0,8.4,12.0,5.5,1.1,mercadona,15.476190476190476,15.833333333333332
Jamón Cocido Calidad Extra,101.0,2.5,0.9000000000000001,18.6,0.0,mercadona,36.00000000000001,100.0
Panela sin Refinar,376.0,0.0,94.0,0.0,0.0,mercadona,,100.0
Espirales de Lenteja Roja,334.0,1.7000000000000002,50.0,26.0,0.0,mercadona,23.52941176470588,2.4
Jamón Cocido Fiambre Natural ,102.0,2.5,0.9000000000000001,19.0,4.75,mercadona,36.00000000000001,100.0
Kéfir 0% Natural ,36.0,0.5,4.8,3.9,0.17,mercadona,20.0,50.0
Helado Vainilla Chocolate y Nata,197.0,10.0,23.0,3.3000000000000003,0.04,mercadona,71.0,95.65217391304348
Alcaparras en Vinagre,34.0,0.4,6.7,2.6,0.02,mercadona,25.0,0.0
Albóndigas en Salsa,132.0,8.0,6.3,8.8,1.1,mercadona,36.25,34.920634920634924
Filete Empanado,132.0,1.0,18.2,12.6,3.12,mercadona,80.0,8.241758241758241
Sopa de Cebolla,15.2,0.32,2.4,0.5599999999999999,2.5,mercadona,75.0,35.0
Albóndigas con Tomate,201.0,14.6,7.400000000000001,9.9,1.1,mercadona,54.10958904109589,12.16216216216216
Muesli Crujiente con Chocolate (40g),460.0,17.5,64.0,8.0,0.05,mercadona,50.0,35.9375
Jamón Bellota Ibérico ,393.0,30.1,1.0,29.5,3.5000000000000004,mercadona,0.0,50.0
Mayonesa Ligera,261.0,25.8,6.6000000000000005,0.6,0.0,mercadona,12.4031007751938,42.42424242424242
Lambrusco,68.57142857142857,0.0,2.742857142857143,0.0,0.0,mercadona,,0.0
Jamón Cocido Extra Bajo en Grasa,101.0,2.5,0.9000000000000001,18.6,0.0,mercadona,0.0,0.0
Queso Fresco de Vaca Light,117.0,5.7,3.8,13.0,0.8500000000000001,mercadona,68.42105263157895,94.73684210526318
Pipas de Calabaza Peladas,583.0,47.9,2.9,35.3,0.0,mercadona,17.745302713987474,55.172413793103445
Alubia Pinta,292.0,1.0,40.0,21.4,0.08,mercadona,30.0,5.75
Lazo Hojaldre Azucar,528.0,30.0,56.99999999999999,5.9,0.0,mercadona,53.333333333333336,47.36842105263159
Mini Croissant Mantequilla,503.0,31.0,48.0,7.9,0.0,mercadona,67.74193548387096,15.41666666666667
Jalapeños Picantes en Vinagre,18.0,0.5,2.8,0.3,3.25,mercadona,40.0,0.0
Salchichas Bratwurst,200.0,14.029999999999998,1.2,16.8,5.25,mercadona,39.2017106200998,41.66666666666667
Crunchy Chicken,240.0,13.5,12.5,17.0,1.6,mercadona,18.51851851851852,8.8
Ensalada Fresca,17.0,0.3,4.2,1.6,0.2,mercadona,0.0,30.95238095238096
Galletas Saladas ,478.0,20.0,65.0,8.0,0.01,mercadona,15.0,9.230769230769232
Pan de Trigo Espelta Integral ,272.7272727272727,3.636363636363636,45.45454545454545,10.545454545454543,1.3818181818181818,mercadona,19.000000000000004,10.8
Espelta Sabor Manzana,346.0,6.1,55.00000000000001,6.1,0.26,mercadona,8.196721311475411,8.727272727272725
Yogur Cremoso Edulcorado 0%,52.0,0.1,6.2,4.9,0.0,mercadona,100.0,100.0
Salsa Roquefort,238.0,22.5,6.7,2.0,3.0,mercadona,15.55555555555556,50.74626865671642
Zanahoria Baby Ultracongelada,35.0,0.0,6.7,0.4,0.1,mercadona,,97.01492537313432
Cabecero de Lomo Embuchado,270.0,16.0,0.5,31.0,4.5,mercadona,41.875,100.0
Langostinos Rebozados,185.0,4.5,27.1,8.1,4.5,mercadona,11.11111111111111,16.605166051660518
Jamon Serrano a Cuchillo ,300.0,18.7,1.0,31.8,3.6000000000000005,mercadona,36.36363636363637,50.0
Panettone con Pepitas de Chocolate,426.0,22.7,47.6,6.800000000000001,0.26,mercadona,66.51982378854625,39.91596638655462
Papa Gajo Rústica,150.0,6.1,20.0,2.5,0.79,mercadona,9.836065573770492,5.0
Espárragos Verde Troceado,28.000000000000004,0.6,2.0,2.9,0.02,mercadona,16.666666666666668,95.0
Lomo de Cerdo Asado,159.0,2.8,2.2,31.0,0.0,mercadona,28.571428571428577,59.09090909090908
Avena Chocolate Negro ,466.0,20.0,61.0,8.6,0.7,mercadona,17.0,44.26229508196721
Filetes Plancha,122.0,3.5000000000000004,0.5,23.0,0.17,mercadona,42.85714285714285,100.0
Cuidacol,47.0,1.4,5.2,3.3000000000000003,0.32,mercadona,7.142857142857144,96.15384615384616
Lasaña de Verduras,138.0,5.4,16.0,5.5,0.7,mercadona,48.14814814814815,16.875
Porciones de Merluza del Cabo,82.0,1.2,0.5,18.0,0.2,mercadona,25.0,0.0
Crema de Queso Camembert,218.00000000000003,18.0,1.0,13.0,2.75,mercadona,66.66666666666666,0.0
Galleta con Chocolate Blanco,492.3076923076923,23.07692307692308,64.61538461538461,6.153846153846154,1.846153846153846,mercadona,53.333333333333336,54.76190476190476
Yogur Desnatado Coco,35.2,0.08,4.4,4.32,0.128,mercadona,0.0,100.0
Ensalada China con Mazorquitas,33.0,0.5,6.4,0.6,2.5,mercadona,20.0,67.18749999999999
Leche Desnatada Calcio,40.0,0.3,5.3,3.9,0.0,mercadona,66.66666666666667,100.0
Copos de Espelta 0% Azúcares Añadidos,364.0,2.7,66.0,14.6,1.95,mercadona,7.4074074074074066,2.8787878787878785
Chicles Hierbabuena sin Azúcar,170.0,0.5,69.0,0.5,0.2,mercadona,20.0,0.0
Pechugas Rellenas de Jamón y Queso,137.0,3.8,7.200000000000001,18.6,0.92,mercadona,52.63157894736842,8.333333333333332
Crunchy Choc,450.0,14.000000000000002,73.0,6.3,0.53,mercadona,28.57142857142857,35.61643835616438
Mahonesa,599.0,65.0,2.6,0.7,0.0,mercadona,31.846153846153847,96.15384615384616
Galletas María 0%,416.6666666666667,11.666666666666666,75.0,6.666666666666667,0.0,mercadona,14.285714285714288,11.111111111111107
Arroz Tres Delicias con Sazonador,114.0,1.3,21.0,4.2,0.08,mercadona,38.46153846153846,6.666666666666667
Filete de Pavo,103.0,0.9000000000000001,0.0,24.0,0.4,mercadona,33.33333333333333,
Barquillos Rellenos de Chocolate,476.0,20.0,67.6,4.8,0.0,mercadona,22.000000000000004,72.7810650887574
Pizza Jamón Serrano,261.0,8.2,31.0,15.1,4.5,mercadona,53.658536585365866,7.741935483870968
Salteado de Gambas,40.0,1.2,2.8,3.8,0.4099999999999999,mercadona,16.666666666666668,64.2857142857143
Queso Blanco Pasteurizado Light,130.0,8.3,4.8,9.0,0.75,mercadona,54.21686746987952,58.333333333333336
Leche Omega 3,51.0,2.1,4.8,3.1,0.14,mercadona,23.809523809523807,100.0
Harina,343.0,1.3,71.0,10.0,0.0,mercadona,0.0,0.0
Leche de Avena 0%,35.0,1.4,4.7,0.7,0.1,mercadona,14.285714285714288,0.0
Paté de Atún,216.0,17.1,5.8,9.6,0.98,mercadona,11.695906432748536,12.06896551724138
Manzanilla con Anís,3.0,0.0,0.0,0.0,0.04,mercadona,,
Sopa de Miso,132.0,4.4,10.8,10.1,0.02,mercadona,15.909090909090908,42.59259259259259
Anillas de Pota Argentina,50.0,0.8,0.6,10.0,0.0,mercadona,25.0,0.0
Obleas para Helado,390.0,2.6,79.0,11.0,0.0,mercadona,76.92307692307692,0.8860759493670884
Yogur Bifidus con Mango,84.8,2.56,11.84,3.52,0.12,mercadona,68.75,100.0
Corallini Integral,345.0,2.4,62.0,13.5,0.0,mercadona,20.833333333333336,5.967741935483872
Pan de Leche (80g),247.5,1.6,49.00000000000001,7.8,0.0,mercadona,20.3125,8.367346938775508
Ensaladilla de Cangrejo,234.0,17.0,14.6,5.2,1.5,mercadona,12.352941176470589,50.0
Macarrones con Vegetales,354.0,1.5,72.0,11.0,0.08,mercadona,20.0,4.861111111111112
Tsatsiki,213.0,20.4,3.5000000000000004,2.9,0.7,mercadona,24.01960784313726,91.42857142857144
Patatas Fritas Onduladas,550.0,34.0,53.0,5.7,1.2,mercadona,10.0,1.1320754716981132
Queso Gorgonzola,325.0,27.0,0.98,19.4,0.0,mercadona,71.85185185185185,10.20408163265306
Roscón de Reyes Relleno de Nata ,332.0,17.0,37.0,5.6,0.52,mercadona,70.58823529411765,51.35135135135135
+Proteínas con Stracciatella ,56.00000000000001,0.5,3.3000000000000003,9.6,0.14,mercadona,60.0,90.9090909090909
Salchichas Cocidas de Pavo,92.0,3.0,2.3,13.1,5.75,mercadona,43.333333333333336,21.73913043478261
Burger Meat,182.0,12.0,0.9000000000000001,17.0,0.75,mercadona,41.66666666666667,88.88888888888889
Torreznos Sabor Barbacoa ,592.0,43.4,2.0,50.2,4.3,mercadona,32.718894009216584,25.0
Jengibre ,4.0,0.1,0.8,0.1,0.02,mercadona,100.0,62.5
"Salteado de Gambas, Ajos Tiernos y Trigueros",38.0,0.4,3.6000000000000005,4.0,0.42,mercadona,25.0,52.77777777777777
Agua de Coco,20.0,0.0,4.8,0.02,0.08,mercadona,,68.75000000000001
Pollo con Almendras,179.0,7.200000000000001,19.0,8.9,2.0,mercadona,15.277777777777777,19.47368421052632
Napolitanas con Crema,387.4458874458874,14.935064935064934,43.290043290043286,4.761904761904763,0.6493506493506493,mercadona,71.01449275362319,47.5
Yogur Bifidus Desnatado Piña,49.6,0.08,8.48,3.6,0.144,mercadona,0.0,76.41509433962264
Pasta Rellena Requesón y Espinacas ,275.0,11.0,34.0,8.9,0.0,mercadona,34.54545454545455,15.882352941176473
Pan de Molde con Semillas y Pipas de Calabaza,295.1219512195122,9.75609756097561,39.02439024390244,10.975609756097562,1.0975609756097562,mercadona,12.5,10.625000000000002
Sándwich Mixto Plancha,256.0,8.0,33.6,12.3,0.0,mercadona,0.0,0.0
Salteado de Setas Cogumelos,16.0,0.3,0.5,1.8000000000000005,0.03,mercadona,33.333333333333336,80.0
Salsas Frescas Quesos,121.0,8.5,6.1,4.7,0.01,mercadona,70.58823529411765,31.14754098360656
Pastel de Belem ,214.0,10.0,28.000000000000004,4.0,0.0,mercadona,40.0,0.0
Panceta,173.0,9.6,0.0,22.0,0.0,mercadona,42.70833333333333,
Cocktail Rodeo,490.00000000000006,24.9,55.00000000000001,9.0,2.6,mercadona,10.843373493975903,6.0
Queso Ensalada,219.0,17.0,0.5,15.0,0.01,mercadona,70.58823529411765,100.0
Aceitunas con Hueso,181.0,19.0,0.0,1.1,4.0,mercadona,21.052631578947366,
Queso Arzúa Ulloa ,297.0,25.0,0.69,17.0,1.17,mercadona,65.2,81.15942028985509
Jamón York Extra Sándwich ,101.0,2.5,0.9000000000000001,18.6,4.75,mercadona,36.00000000000001,100.0
Tortas de Aceite,483.3333333333333,22.0,62.33333333333333,6.000000000000001,1.6666666666666667,mercadona,10.606060606060606,26.203208556149736
Crema de Setas,42.0,2.2,4.7,0.9000000000000001,0.65,mercadona,59.09090909090908,10.638297872340424
Rulito de Queso Piña y Almendras ,363.0,28.000000000000004,17.0,9.2,0.4699999999999999,mercadona,64.28571428571428,94.11764705882352
Ensalada Variada,28.000000000000004,0.0,4.2,1.6,0.0,mercadona,,30.95238095238096
Cacao Soluble 0%,343.0,7.200000000000001,45.0,13.0,0.1,mercadona,48.61111111111111,8.666666666666668
Queso Fundido en Lonchas Suave,242.0,16.0,12.0,11.8,7.249999999999999,mercadona,69.375,48.333333333333336
Yogur Bebido 0% Fresa,33.0,0.3,4.3,3.3000000000000003,0.11,mercadona,0.0,81.39534883720931
Chocominis,454.0,17.0,66.0,5.7,0.75,mercadona,11.176470588235292,30.303030303030305
Bifidus 0% Frutas del Bosque,46.400000000000006,0.08,7.52,3.84,0.128,mercadona,100.0,68.08510638297874
Choco Buns ,352.38095238095235,15.952380952380954,42.85714285714285,8.571428571428571,0.0,mercadona,56.71641791044776,37.22222222222224
Quiche York y Bacon,280.0,14.3,27.399999999999995,10.4,0.0,mercadona,54.54545454545454,22.262773722627745
Reducción de Vinagre de Pedro Ximenez,298.0,0.0,74.0,0.0,0.2,mercadona,,56.75675675675676
Tubo de Pota,56.99999999999999,0.8,1.5,11.0,1.28,mercadona,37.49999999999999,0.0
+Proteínas Chocolate y Nata,82.0,2.4,5.0,10.0,0.12,mercadona,66.66666666666667,80.0
Guindillas Picantes ,22.0,0.0,2.8,1.6,0.51,mercadona,,25.0
Yemas de Espárragos,15.0,0.1,1.6,1.3,1.0,mercadona,0.0,62.5
Pesto Salsa Fresca ,560.0,56.99999999999999,6.2,4.9,2.5,mercadona,15.438596491228074,17.741935483870968
Pollo en Lata,133.0,1.5,0.0,30.0,0.6,mercadona,33.33333333333333,
Cocido Madrileño,114.0,5.7,6.2,7.5,2.0,mercadona,31.578947368421066,8.064516129032258
Pechuga Entera ,106.0,1.8000000000000005,0.0,22.0,0.44,mercadona,27.777777777777768,
Rodaja de Poton Congelado,81.0,0.9000000000000001,1.3,17.0,1.45,mercadona,22.22222222222222,0.0
Cocktail Tostado 0% Sal,621.0,54.0,5.7,23.0,0.0,mercadona,13.703703703703706,100.0
Cebollitas Agridulces,21.0,0.5,3.7000000000000006,0.3,1.5,mercadona,20.0,54.05405405405405
Pimienta Verde ,75.0,2.0,7.1,2.0,0.05,mercadona,40.0,49.29577464788733
Bebida de Coco y Arroz,50.0,1.6,9.0,0.1,0.08,mercadona,81.25,70.0
Filete Hígado Añojo,133.0,4.5,1.9,21.0,0.42,mercadona,37.777777777777786,89.47368421052633
Ensalada California,226.0,14.000000000000002,18.0,5.3,0.91,mercadona,9.285714285714285,47.77777777777777
Compota de Manzana,64.0,0.5,15.0,0.5,0.03,mercadona,20.0,86.66666666666667
Pollo Entero Troceado,163.0,9.5,0.0,19.0,0.2,mercadona,31.57894736842105,
Tortilla de Patatas sin Cebolla,157.0,9.8,11.0,5.7,1.4,mercadona,17.346938775510203,9.090909090909092
100% Integral Familiar,247.00000000000003,3.7000000000000006,39.0,11.0,1.1,mercadona,21.62162162162162,6.666666666666667
Leche Almendras,16.0,1.5,0.0,0.5,0.08,mercadona,20.0,
Coulant de Chocolate,384.0,21.2,40.0,6.5,0.32,mercadona,44.33962264150944,86.75
Bombón Almendrado,338.8235294117647,23.176470588235293,28.35294117647059,4.352941176470589,0.0,mercadona,73.09644670050763,91.28630705394193
Almejones al Natural,110.0,3.0,4.0,17.5,1.0,mercadona,33.33333333333333,0.0
Chocolate 0% Azúcares Añadidos ,453.0,31.0,46.0,6.0,0.1,mercadona,61.29032258064516,2.1739130434782608
Pan 5 Bocadillos,261.0,0.8,54.0,8.3,1.2,mercadona,25.0,3.7037037037037033
Copos de Trigo Integral y Arroz sin Azúcares Añadidos,373.0,1.6,75.0,10.3,1.0,mercadona,18.75,1.3333333333333337
Lomo de Cerdo al Ajillo ,117.0,3.6000000000000005,0.8,20.0,4.25,mercadona,38.88888888888888,62.5
Paté de Hígado de Cerdo Light ,142.0,10.0,3.0,10.0,1.2,mercadona,40.0,0.0
Pasas Moscatel sin Semillas,321.0,1.0,73.0,2.8,0.0,mercadona,20.0,87.67123287671232
Nidos Vegetales ,366.0,1.5,74.0,12.0,0.04,mercadona,20.0,4.72972972972973
Zumo de Tomate,18.0,0.0,3.3000000000000003,0.9000000000000001,0.0,mercadona,,100.0
Leche de Soja Chocolate sin Azúcar ,35.0,1.8000000000000005,1.0,3.3000000000000003,0.16,mercadona,22.22222222222221,70.0
Pechugas de Pollo Marinadas ,86.0,1.1,1.2,17.6,0.0,mercadona,36.36363636363637,8.333333333333334
Lentejas Bote,89.0,0.4,10.7,8.2,0.0,mercadona,25.0,4.672897196261683
Capuchino Caramelo ,416.6666666666667,8.333333333333334,75.75757575757575,7.575757575757576,1.3636363636363638,mercadona,90.9090909090909,65.0
Lomo Vacuno,145.0,5.7,0.5,23.0,0.0,mercadona,36.84210526315789,100.0
Pasta Rellena de Quesos,225.0,5.2,34.0,10.0,1.7000000000000002,mercadona,51.92307692307693,15.882352941176473
Galletas Rellenas de Chocolate 0%,398.0,17.0,63.0,6.7,0.63,mercadona,34.11764705882353,6.507936507936507
Salsa de Queso,121.0,1.7000000000000002,10.8,3.2,2.8,mercadona,23.52941176470588,37.03703703703704
Aceitunas Negras Rodajas,125.0,13.0,0.0,0.5,2.0,mercadona,17.69230769230769,
Relleno para Fajitas Pollo,68.0,0.7,7.3,7.200000000000001,0.0,mercadona,28.571428571428577,73.97260273972603
Barra Camperola ,268.0,1.0,54.29999999999999,8.9,0.0,mercadona,30.0,3.130755064456723
Hamburguesa de Merluza y Gambón,143.0,7.3,8.9,10.5,1.81,mercadona,12.328767123287673,6.741573033707865
Sardinillas Picantes,215.0,14.7,0.2,20.6,1.48,mercadona,19.047619047619047,0.0
Pipas sin Sal,570.0,45.5,17.3,18.2,0.0,mercadona,11.428571428571429,15.606936416184972
Ravioli Carne,264.0,6.3,38.1,12.0,1.1,mercadona,30.15873015873016,4.461942257217848
Trigo Espelta 100% Integral  ,272.7272727272727,3.636363636363636,45.45454545454545,10.545454545454543,1.3818181818181818,mercadona,19.000000000000004,10.8
Raxo de Cerdo,138.0,6.0,0.5,21.0,1.23,mercadona,21.666666666666668,100.0
Gourmet Maxi,21.0,0.5,2.2,1.5,0.16,mercadona,20.0,86.36363636363636
Ensalada Gourmet,21.0,0.5,2.2,1.5,0.16,mercadona,20.0,86.36363636363636
Sopa Wonton,46.0,0.2,8.1,2.6,0.0,mercadona,50.0,7.4074074074074066
Surtido de Pastas,505.0,25.5,60.0,6.0,0.1,mercadona,39.21568627450981,36.66666666666668
Salmón Marinado ,202.0,12.0,0.5,23.0,3.0,mercadona,13.333333333333334,100.0
Escarola Lavada ,26.0,0.3,2.4,1.5,0.08,mercadona,0.0,29.166666666666668
Alubia Negra,292.0,1.0,40.0,21.4,0.03,mercadona,30.0,5.75
Queso de Untar sin Lactosa ,288.0,29.0,2.6,4.1,0.9000000000000001,mercadona,72.41379310344827,100.0
Filete Plancha/Guisar ,127.0,4.9,0.5,20.0,0.19,mercadona,44.89795918367347,100.0
Bebida Avena 0% Azúcar ,35.0,1.4,4.7,0.7,0.1,mercadona,14.285714285714288,0.0
Queso Fresco Burgos 0%,68.0,0.2,4.4,12.3,0.0,mercadona,50.0,100.0
Mermelada de Tomate,194.0,0.0,48.0,0.4,0.0,mercadona,,0.0
Pechuga de Pollo al Ajillo,79.0,0.6,0.4,18.0,1.5,mercadona,33.333333333333336,74.99999999999999
Atún Claro en Tomate,209.6153846153846,11.923076923076923,1.7307692307692308,24.03846153846154,0.9615384615384616,mercadona,19.354838709677416,0.0
Allioli,749.0,82.0,1.5,1.2,0.0,mercadona,11.951219512195124,0.0
Tortilla Fresca de Patata con Cebolla,193.0,11.0,17.0,5.7,1.1,mercadona,15.454545454545457,5.88235294117647
Almendrado,324.44444444444446,19.77777777777778,31.222222222222225,4.666666666666667,0.2777777777777778,mercadona,56.74157303370785,98.932384341637
Pizza Formaggi,280.0,12.3,27.0,14.7,1.2,mercadona,60.16260162601627,6.666666666666668
Lasaña Espinacas y Requeson ,165.0,10.0,12.0,5.9,0.8,mercadona,44.00000000000001,23.33333333333333
Cola ,42.0,0.0,10.6,0.0,0.02,mercadona,,100.0
Guisante Fino Ultracongelado,82.0,0.4,11.0,6.0,0.01,mercadona,50.0,25.454545454545453
Pan de Molde Trigo Espelta,273.0,3.8,45.4,10.6,1.37,mercadona,18.421052631578945,10.79295154185022
Yogur 0% con Fruta Piña,42.4,0.08,5.12,4.48,0.256,mercadona,0.0,93.75
Pasta Rellena de Jamón y Queso,269.0,8.2,38.0,10.0,0.86,mercadona,26.829268292682933,12.894736842105264
Aceitunas sin Hueso Aliñadas,134.0,13.0,0.0,1.9,3.0,mercadona,16.153846153846153,
Patatas Waffle,192.0,9.6,24.0,2.6,0.5,mercadona,12.5,3.333333333333333
Bizcocho de Chocolate sin Gluten ,488.0,33.5,41.2,4.5,0.73,mercadona,22.686567164179102,79.12621359223301
Calamar Pequeño Patagónico ,62.0,1.5,0.0,12.0,0.44,mercadona,6.666666666666667,
Barra Rústica,259.0,1.4,52.0,8.1,3.25,mercadona,21.42857142857143,4.807692307692308
L Casei 0% Fresa,29.0,0.1,3.8,3.3000000000000003,0.1,mercadona,0.0,92.10526315789475
Café Soluble Clásico,278.0,0.4,33.0,25.0,0.29,mercadona,0.0,0.0
Pan de Molde sin Corteza Integral ,224.00000000000003,4.4,34.0,9.6,0.0,mercadona,18.181818181818183,11.76470588235294
Pizza Pollo Frango Bacon ,245.00000000000003,9.1,26.0,14.7,1.4,mercadona,54.94505494505495,12.692307692307695
Macarrones al Huevo,359.0,3.3000000000000003,68.0,12.0,0.75,mercadona,30.303030303030297,5.147058823529412
Tallarin,361.0,1.5,72.0,13.0,0.01,mercadona,20.0,5.000000000000001
Chipirones Enharinados,184.0,14.2,3.3000000000000003,10.0,1.2,mercadona,12.676056338028175,27.27272727272728
Yogur Macedonia,82.39999999999999,2.48,11.44,3.6,0.128,mercadona,67.74193548387098,100.0
Queso Finas Hierbas,167.0,13.0,6.4,5.9,0.0,mercadona,69.23076923076923,78.125
Paté Finas Hierbas,271.0,24.3,1.3,11.7,1.9,mercadona,37.44855967078189,100.0
Piparra,22.0,0.0,2.8,1.6,0.51,mercadona,,25.0
Calamar Patagónico Pequeño,62.0,1.5,0.0,12.0,0.44,mercadona,53.333333333333336,
Piña Deshidratada,314.0,0.8,82.0,3.4000000000000004,0.0,mercadona,0.0,75.60975609756098
"Rosca Lomo, Bacon y Queso Emmental",236.0,7.000000000000001,29.0,12.9,1.6,mercadona,71.42857142857142,4.137931034482759
Tiras de Maíz Frito,561.0,32.0,58.5,7.200000000000001,2.0,mercadona,13.125,4.957264957264957
Picos Camperos de Jerez,394.0,2.3,79.9,11.5,0.01,mercadona,17.39130434782609,3.629536921151439
Pimientos del Piquillo en Tiras,40.0,0.4,7.7,1.0,1.1,mercadona,25.0,92.2077922077922
Sándwich Sabor Nata,275.47169811320754,10.0,41.50943396226416,4.150943396226416,0.4339622641509434,mercadona,66.0377358490566,54.54545454545453
Rosquillas Chocolate y Coco,560.0,36.0,52.0,5.2,0.44,mercadona,60.00000000000001,50.76923076923077
Pastilla Caldo de Pollo,176.0,5.0,18.2,14.3,53.400000000000006,mercadona,13.999999999999998,14.285714285714288
Ensaladilla Rusa Congelada,65.0,0.2,12.0,2.5,0.03,mercadona,0.0,22.5
Penne Integral,347.0,1.9,67.0,12.0,0.1,mercadona,21.05263157894737,4.776119402985075
Mini Caritas,475.6097560975609,19.51219512195122,68.29268292682927,7.317073170731707,0.8292682926829269,mercadona,62.5,46.42857142857142
Alubia Roja,89.0,0.4,11.5,6.3,0.8,mercadona,25.0,7.82608695652174
Costillas Barbacoa,186.0,9.8,8.0,16.0,0.0,mercadona,35.714285714285715,87.50000000000001
Zumo de Melocotón y Uva,50.0,0.0,11.2,0.5,0.0,mercadona,,0.0
Morcilla de Cebolla,300.0,26.0,6.0,10.0,1.9,mercadona,38.46153846153847,33.33333333333333
Ensalada de Alga Wakame,71.0,0.8,12.0,2.4,6.0,mercadona,62.5,10.833333333333334
Boquerones al Vinagre en Aceite de Girasol ,203.0,13.6,0.8,19.4,0.01,mercadona,12.205882352941176,0.0
Batido de Fresa,51.0,0.5,11.9,1.9,0.0,mercadona,0.0,0.0
Regañá con Aceite de Oliva Virgen Extra,498.00000000000006,16.0,76.0,11.0,2.0,mercadona,15.625,2.631578947368421
Salchichas Estilo Frankfurt con Queso,212.0,15.7,5.5,12.1,2.2,mercadona,38.853503184713375,9.090909090909092
Actimel,29.0,0.1,3.8,3.3000000000000003,0.1,mercadona,0.0,92.10526315789475
Barrita Espelta,345.0,6.0,55.00000000000001,6.0,0.25,mercadona,8.333333333333332,9.09090909090909
Bacalao a la Vizcaina,94.0,2.4,0.5,17.0,0.0,mercadona,29.166666666666668,100.0
"Salteado de Patata con Salchicha, Tortilla y Beicon",149.0,6.6000000000000005,17.0,4.3,1.25,mercadona,25.75757575757576,8.823529411764707
Longaniza de Pascua,458.0,39.0,2.7,24.0,0.01,mercadona,35.897435897435905,100.0
Spaghetti al Huevo,359.0,3.3000000000000003,68.0,12.0,0.0,mercadona,30.303030303030297,5.147058823529412
Sofrito de Calabacín y Cebolla,103.0,7.200000000000001,7.200000000000001,1.3,0.0,mercadona,0.0,0.0
Salchichón Extra Pimienta Finas Lonchas,345.0,25.0,4.9,25.0,9.75,mercadona,36.4,100.0
Pizza Atún,262.0,12.3,25.1,12.7,0.0,mercadona,34.95934959349593,11.553784860557768
Espaguetis sin Gluten,341.0,2.0,73.0,6.3,0.01,mercadona,25.0,0.410958904109589
Semicurado Cuñitas,421.0,35.0,1.6,25.0,1.7000000000000002,mercadona,71.42857142857143,31.25
Mango Dados,61.0,0.5,12.9,0.4,0.03,mercadona,0.0,97.67441860465117
Filetes Hígado Cerdo,120.0,3.7000000000000006,0.0,21.4,0.0,mercadona,32.43243243243242,
Galletitas Saladas,468.0,20.0,64.0,7.6,2.12,mercadona,48.0,9.375
Pan Tostado Integral,376.0,6.0,59.4,16.0,0.0,mercadona,11.666666666666666,6.397306397306397
Lonchas Queso Fundido,231.0,16.1,8.9,12.0,0.01,mercadona,69.56521739130433,60.67415730337079
Lonchas de Queso Fundido Suave,242.0,16.0,12.0,11.8,2.9,mercadona,69.375,48.333333333333336
Lenguado Congelado,91.0,1.2,0.5,18.8,0.5,mercadona,25.0,100.0
Té Quema Grasas,2.0,0.0,0.0,0.0,0.0,mercadona,,
"Aliño Aceite, Ajo y Perejil",756.0,80.0,8.6,0.5,0.0,mercadona,13.0,5.813953488372093
Longaniza de Magro Fresca,222.00000000000003,18.0,2.0,13.0,4.5,mercadona,33.33333333333333,25.0
Yogur Bifidus Kiwi Cereales,44.8,0.08,7.12,3.68,0.128,mercadona,0.0,70.78651685393258
Legumbres,324.0,1.2,46.3,23.9,0.1,mercadona,25.0,14.254859611231105
Stars,403.0,4.7,80.0,7.9,1.9,mercadona,12.76595744680851,2.7500000000000004
Mermelada de Higo,205.0,0.0,50.0,0.5,0.0,mercadona,,97.0
Cereales Rellenos de Crema de Chocolate y Avellanas,440.00000000000006,13.0,72.0,7.3,3.0,mercadona,32.30769230769231,54.16666666666666
Barrita Frutos Secos,508.0,32.4,34.4,14.000000000000002,1.08,mercadona,14.814814814814811,32.558139534883715
Ensalada Wrap Texas,190.0,10.0,15.0,9.1,3.25,mercadona,30.0,16.0
Magdalena de Azucar,393.6842105263158,21.052631578947366,42.10526315789473,5.473684210526316,0.0,mercadona,15.000000000000002,60.0
Pipas con Sal,570.0,45.5,17.3,18.2,20.0,mercadona,11.428571428571429,15.606936416184972
Sazonador para Fajitas,155.0,1.0,29.8,3.6000000000000005,50.2,mercadona,40.0,18.12080536912752
Filetes de Melva en Aceite de Girasol,172.30769230769232,6.0,0.7692307692307693,29.29230769230769,0.0,mercadona,13.076923076923078,0.0
Contramuslo Deshuesado Pollo Rural,130.0,5.6,0.0,20.0,0.55,mercadona,30.35714285714286,
Almendra Laminada,604.0,50.4,7.000000000000001,25.8,0.0,mercadona,7.738095238095238,60.0
Panga,46.0,0.5,0.5,10.0,0.0,mercadona,40.0,0.0
Panecillos Tostados Multicereales,411.1111111111111,12.555555555555554,55.44444444444445,13.555555555555554,1.5555555555555556,mercadona,31.85840707964602,6.4128256513026045
