Producto,Kcal,Grasa,Carbohidratos,Proteina,Sal,Supermercado,Saturada%,Azucares%
+Proteínas Natillas,76.66666666666667,1.5000000000000002,5.833333333333333,10.0,0.1,mercadona,66.66666666666666,61.42857142857142
Guacamole Hacendado,149.0,13.699999999999998,2.0,1.9,1.5,mercadona,27.73722627737227,70.0
Yogur Natural 0%,36.0,0.08,4.48,4.32,0.32,mercadona,0.0,100.0
Arroz Integral,350.0,2.8,72.0,7.6,0.01,mercadona,25.0,0.6944444444444444
Filetes de Lomo de Cerdo,152.0,8.9,0.0,18.0,0.15,mercadona,36.853932584269664,
Frutos Rojos Congelados,103.0,1.9,9.0,1.4,0.0,mercadona,0.0,57.777777777777786
Yogur +Proteínas Natural ,52.0,0.5,3.1,10.0,0.1,mercadona,20.0,100.0
Piña en Su Jugo,55.00000000000001,0.1,13.2,0.4,0.01,mercadona,0.0,84.84848484848484
Kefir Natural,74.0,4.2,5.1,3.9,0.0,mercadona,69.04761904761905,45.09803921568628
Leche de Almendras Zero,16.0,1.5,0.0,0.5,0.08,mercadona,20.0,
Pera Conferencia ,53.0,0.1,12.0,0.5,0.0,mercadona,0.0,75.0
Tortillas Integrales,272.22222222222223,5.833333333333333,41.66666666666667,9.166666666666666,1.3888888888888888,mercadona,28.571428571428577,6.666666666666665
Mandarina,43.0,0.0,9.0,0.8,0.0,mercadona,,100.0
Arándanos Congelados ,52.0,0.0,11.0,0.7,0.02,mercadona,,90.9090909090909
Queso Fresco Desnatado 0%,68.8,0.16,4.48,12.32,0.0,mercadona,59.99999999999994,100.0
Brócoli Congelado,29.0,0.4,1.8000000000000005,3.0,0.03,mercadona,25.0,83.33333333333331
Tortitas Mexicanas de Trigo,302.77777777777777,6.388888888888888,50.0,8.055555555555555,1.6666666666666667,mercadona,26.086956521739136,3.888888888888889
Pan Blanco,248.27586206896552,2.0689655172413794,48.27586206896552,8.96551724137931,3.275862068965517,mercadona,83.33333333333334,8.571428571428571
Yogur Griego Ligero,40.0,0.0,0.0,10.0,0.16,mercadona,,
Miel de Mil Flores,332.0,0.0,83.0,0.0,0.04,mercadona,,89.51807228915662
Yogur Proteínas Fresa,53.333333333333336,0.0833333333333333,5.0,8.333333333333332,0.1,mercadona,100.0,91.66666666666666
Mozzarella Fresca ,202.0,14.000000000000002,2.0,17.0,0.0,mercadona,60.71428571428571,45.00000000000001
+Proteínas Chocolate,80.83333333333333,1.0833333333333337,8.333333333333332,8.333333333333332,0.1,mercadona,53.84615384615382,80.00000000000001
Cacao Puro Desgrasado en Polvo,375.0,16.0,16.3,25.5,0.03,mercadona,63.74999999999999,4.294478527607361
Pan Integral 100%,247.00000000000003,3.7000000000000006,39.0,11.0,1.1,mercadona,21.62162162162162,6.666666666666667
Cacahuete en Polvo Desgrasado,416.0,13.2,21.0,46.7,0.0,mercadona,12.87878787878788,47.61904761904761
Tortilla Mexicana de Trigo,302.77777777777777,6.388888888888888,50.0,8.055555555555555,2.083333333333333,mercadona,26.086956521739136,3.888888888888889
Lomo Adobado Familiar,117.0,3.6000000000000005,0.8,20.0,1.7000000000000002,mercadona,38.33333333333332,62.5
Espaguetis,366.0,1.5,74.0,12.0,0.04,mercadona,20.0,4.72972972972973
Spaguetti,361.0,1.5,72.0,13.0,0.2,mercadona,20.0,4.861111111111112
Leche Desnatada sin Lactosa,34.0,0.3,4.7,3.1,0.32,mercadona,66.66666666666667,100.0
Pepinillos en Vinagre,15.0,0.5,2.2,0.9000000000000001,1.7000000000000002,mercadona,20.0,22.727272727272727
Yogur Proteínas Chocolate ,80.83333333333333,1.0833333333333337,8.333333333333332,8.333333333333332,0.1,mercadona,53.84615384615382,80.00000000000001
Judia Verde Plana,17.0,0.0,3.0,0.9000000000000001,0.74,mercadona,,33.33333333333333
Semillas de Chia,462.5,33.75,2.5,22.5,0.0,mercadona,11.11111111111111,0.0
Cacahuete Tostado sin Sal,618.0,50.4,13.0,24.0,0.0,mercadona,21.825396825396822,47.69230769230769
Hamburguesa de Pollo,148.0,7.5,4.3,16.0,0.0,mercadona,32.0,32.558139534883715
Naranja,42.0,0.0,8.6,0.8,0.0,mercadona,,100.0
Salteado de Verduras Asadas,45.0,0.1,7.9,1.8000000000000005,0.11,mercadona,100.0,53.16455696202531
Claras de Huevo,42.0,0.5,0.5,11.0,0.44,mercadona,20.0,100.0
Tortilla de Avena 51%,286.6666666666667,6.000000000000001,40.0,15.166666666666668,1.3333333333333337,mercadona,30.55555555555556,4.583333333333333
Queso Mozzarella,283.0,21.0,2.5,21.0,1.0,mercadona,61.90476190476191,32.0
+Proteínas con Arándanos,53.333333333333336,0.0833333333333333,5.0,8.333333333333332,0.0,mercadona,0.0,91.66666666666666
Leche + Proteinas,44.0,0.2,4.6,6.0,0.0,mercadona,500.0,100.0
+Proteinas Pudding Caramelo,76.66666666666667,1.5000000000000002,5.833333333333333,10.0,0.1,mercadona,66.66666666666666,61.42857142857142
Rallado para Pizza Mozzarella,281.0,21.0,1.0,22.0,1.0,mercadona,61.90476190476191,80.0
Leche Semidesnatada sin Lactosa,42.8,1.48,4.6,3.0,0.3,mercadona,67.56756756756756,100.0
Ñoquis de Patata,174.0,0.4,37.6,4.5,0.0,mercadona,50.0,0.5319148936170213
Yogur Griego,103.2,8.64,3.12,3.12,0.0959999999999999,mercadona,62.03703703703704,100.0
Yogur Griego Ligero Natural,60.0,2.0,4.7,5.8,0.17,mercadona,70.0,100.0
Guisantes Congelados,82.0,0.4,11.0,6.0,0.0,mercadona,50.0,25.454545454545453
Hummus Classic,311.0,25.8,11.1,6.0,0.0,mercadona,12.790697674418606,4.504504504504505
Crema de Cacahuete Crunchy,618.0,50.0,7.000000000000001,30.0,0.02,mercadona,13.6,51.42857142857144
Solomillo de Pavo,92.0,0.0,0.8,22.0,0.0,mercadona,,0.0
Tiras de Pechuga de Pollo al Natural,107.0,1.2,0.6,23.4,4.5,mercadona,33.333333333333336,100.0
Pimientos Rojos Asados en Tiras,34.0,0.66,5.4,1.0,0.9000000000000001,mercadona,28.787878787878785,81.85185185185185
Banana,89.0,0.3,23.0,1.1,0.0,mercadona,33.333333333333336,52.17391304347826
Salmón,224.00000000000003,16.0,0.0,20.0,0.0,mercadona,16.875,
Yogur +Proteínas con Trozos de Fresa ,53.333333333333336,0.0833333333333333,5.0,8.333333333333332,0.1,mercadona,0.0,91.66666666666666
Quesitos Light,147.2,8.959999999999999,5.76,11.52,1.92,mercadona,64.28571428571429,100.0
Langostino Cocido,98.0,1.1,0.5,22.2,1.7500000000000002,mercadona,27.27272727272727,100.0
Avena Crunchy Integral,390.0,5.8,66.0,13.0,0.2,mercadona,17.24137931034483,6.969696969696969
Fuet Espetec Extra ,421.0,34.0,1.4,27.500000000000004,3.7000000000000006,mercadona,39.11764705882353,100.0
Arroz Tres Delicias,109.0,1.3,20.0,4.0,0.25,mercadona,38.46153846153846,3.5
Copos de Avena,375.0,7.000000000000001,59.0,14.000000000000002,0.0,mercadona,18.57142857142857,1.864406779661017
Salchichas Frankfurt,212.0,15.7,5.5,12.1,2.2,mercadona,38.853503184713375,9.090909090909092
Pisto de Verduras,60.0,1.1,9.9,1.6,0.0,mercadona,9.090909090909092,56.56565656565656
Canónigos Lavados,15.0,0.0,0.5,2.0,0.01,mercadona,,0.0
+Proteínas Natural,52.0,0.5,3.1,10.0,0.1,mercadona,20.0,100.0
Espinaca Cortada,26.0,0.5,1.4,2.9,0.01,mercadona,20.0,0.0
Atún Claro en Aceite de Oliva (60g),203.3333333333333,12.000000000000002,0.0,24.000000000000004,12.5,mercadona,15.277777777777777,
Alubia Blanca Cocida,83.0,0.4,10.7,5.8,0.8,mercadona,25.0,7.476635514018692
Queso Feta,277.0,23.2,1.0,16.0,0.01,mercadona,70.6896551724138,0.0
Pimientos Asados Tiras,30.0,0.5,5.6,0.9000000000000001,0.83,mercadona,0.0,92.85714285714288
Chorizo,358.0,29.0,3.2,21.0,0.01,mercadona,37.93103448275862,100.0
Mantequilla de Cacahuete 100%,618.0,50.0,7.000000000000001,30.0,0.0,mercadona,13.6,51.42857142857144
Nata Líquida para Cocinar,160.0,15.0,4.5,2.0,0.0,mercadona,0.0,0.0
Picos Camperos,382.8571428571429,2.571428571428571,78.0,11.142857142857142,0.0,mercadona,11.111111111111112,4.761904761904761
Queso Edam ,321.0,24.0,0.0,25.4,0.0,mercadona,70.83333333333334,
Pan de Fibra y Sésamo ,395.83333333333337,7.291666666666667,60.41666666666666,12.5,1.1458333333333337,mercadona,14.285714285714285,5.172413793103449
Pimiento Rojo y Verde Congelado,28.000000000000004,0.4,4.5,0.9000000000000001,0.0,mercadona,25.0,95.55555555555554
Avena Molida,384.0,7.1,59.9,12.2,0.0,mercadona,18.30985915492958,1.669449081803005
Fajitas Integrales,317.5,8.5,35.0,22.000000000000004,0.0,mercadona,17.647058823529413,5.0
Guisantes Enlatados,59.0,0.2,10.0,4.0,0.8,mercadona,0.0,42.00000000000001
Nachos,481.0,22.0,61.0,8.2,0.5,mercadona,9.545454545454549,5.081967213114754
Stracciatella +Proteinas,56.00000000000001,0.5,3.3000000000000003,9.6,0.14,mercadona,60.0,90.9090909090909
Yogur de Proteinas Mango Maracuyá,56.66666666666666,0.0833333333333333,5.833333333333333,8.333333333333332,0.1,mercadona,0.0,91.42857142857144
Harina de Avena,384.0,7.1,59.9,12.2,0.0,mercadona,18.30985915492958,1.1686143572621035
Salteado de Verduras Vegetais,31.0,0.3,3.8,2.0,0.05,mercadona,33.333333333333336,78.94736842105263
Queso Emmental,369.0,29.0,0.5,27.0,0.83,mercadona,72.41379310344827,100.0
Guacamole 95% Aguacate ,149.0,13.699999999999998,2.0,1.9,1.5,mercadona,27.73722627737227,70.0
Ketchup,115.0,0.0,27.0,1.3,1.8000000000000005,mercadona,,75.92592592592592
Bebida de Almendras Zero,16.0,1.5,0.0,0.5,0.11,mercadona,20.0,
Empanada de Atún,237.0,10.0,28.000000000000004,7.7,2.75,mercadona,13.999999999999998,13.928571428571429
Jamón Cocido Natural,102.0,2.5,0.9000000000000001,19.0,1.9,mercadona,36.00000000000001,100.0
Mozzarella Pizza Roma,283.0,21.0,2.5,21.0,1.0,mercadona,61.90476190476191,32.0
Queso Gouda Lonchas,345.0,27.9,0.0,23.4,1.7000000000000002,mercadona,69.17562724014338,
Soja Texturizada Grano Fino,326.0,1.3,20.0,51.0,0.01,mercadona,15.384615384615383,50.0
Nuez Natural,616.0,54.0,10.0,20.0,0.0,mercadona,8.88888888888889,10.0
Pasta Integral,345.0,2.4,62.0,13.5,0.01,mercadona,20.833333333333336,5.967741935483872
Arroz Largo,347.0,0.8,78.0,6.5,0.5,mercadona,37.49999999999999,0.641025641025641
Mayonesa,599.0,65.0,2.4,0.6,2.5,mercadona,14.923076923076922,55.41666666666667
Queso Rallado 4 Quesos,354.0,28.000000000000004,2.5,23.0,1.9,mercadona,67.85714285714285,0.0
Contramuslo de Pollo Deshuesado ,127.0,4.9,1.6,19.0,0.17,mercadona,38.77551020408163,37.49999999999999
Arroz Congelado,126.94610778443112,0.2994011976047904,28.20359281437126,2.694610778443114,0.0,mercadona,19.99999999999997,0.0
Queso Fresco Burgos Desnatado 0%,68.8,0.16,4.48,12.32,0.912,mercadona,100.0,100.0
Secreto de Cerdo,146.0,7.5,0.5,19.1,0.1,mercadona,29.33333333333333,100.0
Pizza Jamón y Queso,224.00000000000003,7.5,25.2,14.000000000000002,1.5,mercadona,45.333333333333336,6.349206349206351
Gazpacho Tradicional,44.0,2.4,3.6,0.8,2.0,mercadona,16.666666666666668,94.44444444444446
Pasta de Lentejas Rojas,334.0,1.7000000000000002,50.0,26.0,0.02,mercadona,23.52941176470588,2.4
Ketchup Zero,83.0,0.0,17.8,1.7000000000000002,1.7000000000000002,mercadona,,31.46067415730337
Cereales Avena Crunchy,390.0,5.8,66.0,13.0,0.2,mercadona,17.24137931034483,6.969696969696969
Yogur Natural Desnatado 0%,36.0,0.08,4.48,4.32,0.0,mercadona,0.0,100.0
Maxi Tortillas de Trigo,303.3333333333333,6.333333333333332,51.66666666666667,8.166666666666668,1.3333333333333337,mercadona,42.105263157894754,3.548387096774193
Tomate Rallado,21.0,0.2,3.3000000000000003,0.8,0.08,mercadona,15.0,78.78787878787878
Mantequilla sin Sal,743.0,82.0,0.8,0.5,0.05,mercadona,68.29268292682927,100.0
Leche de Avena,35.0,1.4,4.7,0.7,0.1,mercadona,14.285714285714288,0.0
Crema de Verduras ,30.571428571428573,0.8285714285714285,4.571428571428571,0.7428571428571429,0.6857142857142857,mercadona,27.58620689655173,29.375000000000007
Gelatina + Proteínas,40.0,0.0,0.0,10.0,0.0,mercadona,,
